Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 14 23 0.3484 0.7344 0.9002 0.6733 
2022 9 15 0 0.3476 0.7341 0.9002 0.6734 
2022 9 15 1 0.3468 0.7339 0.9002 0.6734 
2022 9 15 2 0.3460 0.7337 0.9002 0.6735 
2022 9 15 3 0.3452 0.7334 0.9002 0.6736 
2022 9 15 4 0.3444 0.7332 0.9001 0.6737 
2022 9 15 5 0.3436 0.7330 0.9001 0.6737 
2022 9 15 6 0.3428 0.7327 0.9001 0.6738 
2022 9 15 7 0.3420 0.7325 0.9001 0.6739 
2022 9 15 8 0.3412 0.7322 0.9001 0.6740 
2022 9 15 9 0.3403 0.7320 0.9001 0.6740 
2022 9 15 10 0.3395 0.7318 0.9001 0.6741 
2022 9 15 11 0.3387 0.7315 0.9000 0.6742 
2022 9 15 12 0.3379 0.7313 0.9000 0.6742 
2022 9 15 13 0.3370 0.7310 0.9000 0.6743 
2022 9 15 14 0.3362 0.7308 0.9000 0.6744 
2022 9 15 15 0.3353 0.7306 0.9000 0.6745 
2022 9 15 16 0.3345 0.7303 0.9000 0.6745 
2022 9 15 17 0.3337 0.7301 0.9000 0.6746 
2022 9 15 18 0.3328 0.7298 0.8999 0.6747 
2022 9 15 19 0.3320 0.7296 0.8999 0.6747 
2022 9 15 20 0.3311 0.7294 0.8999 0.6748 
2022 9 15 21 0.3302 0.7291 0.8999 0.6749 
2022 9 15 22 0.3294 0.7289 0.8999 0.6749 
2022 9 15 23 0.3285 0.7286 0.8999 0.6750 
2022 9 16 0 0.3276 0.7284 0.8998 0.6751 
2022 9 16 1 0.3267 0.7282 0.8998 0.6751 
2022 9 16 2 0.3259 0.7279 0.8998 0.6752 
2022 9 16 3 0.3250 0.7277 0.8998 0.6753 
2022 9 16 4 0.3241 0.7274 0.8998 0.6753 
2022 9 16 5 0.3232 0.7272 0.8997 0.6754 
2022 9 16 6 0.3223 0.7269 0.8997 0.6755 
2022 9 16 7 0.3214 0.7267 0.8997 0.6755 
2022 9 16 8 0.3205 0.7264 0.8997 0.6756 
2022 9 16 9 0.3196 0.7262 0.8997 0.6757 
2022 9 16 10 0.3187 0.7260 0.8997 0.6757 
2022 9 16 11 0.3178 0.7257 0.8996 0.6758 
2022 9 16 12 0.3169 0.7255 0.8996 0.6759 
2022 9 16 13 0.3160 0.7252 0.8996 0.6759 
2022 9 16 14 0.3150 0.7250 0.8996 0.6760 
2022 9 16 15 0.3141 0.7247 0.8996 0.6760 
2022 9 16 16 0.3132 0.7245 0.8995 0.6761 
2022 9 16 17 0.3123 0.7242 0.8995 0.6762 
2022 9 16 18 0.3113 0.7240 0.8995 0.6762 
2022 9 16 19 0.3104 0.7237 0.8995 0.6763 
2022 9 16 20 0.3095 0.7235 0.8994 0.6764 
2022 9 16 21 0.3085 0.7232 0.8994 0.6764 
2022 9 16 22 0.3076 0.7230 0.8994 0.6765 
2022 9 16 23 0.3066 0.7227 0.8994 0.6765 
2022 9 17 0 0.3057 0.7225 0.8994 0.6766 
