CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 15 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 15 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 16 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 10 3.2000 0.04608000 3.2000 0.0000 
